Software Development Engineer,0.2532879474096427
USA,0.0908144765704578
product,0.06002611145320178
software,0.022530132055106372
experience,0.02143816867647363
management,0.02074385569284429
development,0.01766344418212818
user experience,0.017386580372690356
Manager,0.011915797594707535
Python,0.011856462684933523
SQL,0.011767339129786123
Project,0.011743798464230066
team,0.011515715597603877
application,0.0100341792709379
scalable,0.00737109583375892
Java,0.006971290228384053
AWS,0.006933520895706676
Apple,0.006866594203670648
leadership,0.006827491537536502
exceptional,0.0067843320435271096
